                 t           Prod
603      48.294734   33133.217792
604      48.374825   33188.074113
605      48.454916   33242.930434
606      48.535006   33297.786755
607      48.615097   33352.643076
608      48.695188   33407.499396
609      48.775279   33462.355717
610      48.855369   33517.212038
611      48.935460   33572.068359
612      49.015551   33626.924680
613      49.095642   33681.781001
614      49.175732   33736.637321
615      49.255823   33791.493642
616      49.335914   33846.349963
617      49.416005   33901.206284
618      49.496096   33956.062605
619      49.576186   34010.918926
620      49.656277   34065.775247
621      49.736368   34120.631567
622      49.816459   34175.487888
623      49.896549   34230.344209
624      49.976640   34285.200530
625      50.056731   34340.056851
626      50.136822   34394.913172
627      50.216913   34449.769492
628      50.297003   34504.625813
629      50.377094   34559.482134
630      50.457185   34614.338455
631      50.537276   34669.194776
632      50.617366   34724.051097
633      50.697457   34778.907418
634      50.777548   34833.763738
635      50.857639   34888.620059
636      50.937729   34943.476380
637      51.017820   34998.332701
638      51.097911   35053.189022
639      51.178002   35108.045343
640      51.258093   35162.901664
641      51.338183   35217.757984
642      51.418274   35272.614305
643      51.498365   35327.470626
644      51.578456   35382.326947
645      51.658546   35437.183268
646      51.738637   35492.039589
647      51.818728   35546.895909
648      51.898819   35601.752230
649      51.978909   35656.608551
650      52.059000   35711.464872
651      52.139091   35766.321193
652      52.219182   35821.177514
653      52.299273   35876.033835
654      52.379363   35930.890155
655      52.459454   35985.746476
656      52.539545   36040.602797
657      52.619636   36095.459118
658      52.699726   36150.315439
659      52.779817   36205.171760
660      52.859908   36260.028080
661      52.939999   36314.884401
662      53.020089   36369.740722
663      53.100180   36424.597043
664      53.180271   36479.453364
665      53.260362   36534.309685
666      53.340453   36589.166006
667      53.420543   36644.022326
668      53.500634   36698.878647
669      53.580725   36753.734968
670      53.660816   36808.591289
671      53.740906   36863.447610
672      53.820997   36918.303931
673      53.901088   36973.160251
674      53.981179   37028.016572
675      54.061269   37082.872893
676      54.141360   37137.729214
677      54.221451   37192.585535
678      54.301542   37247.441856
679      54.381633   37302.298177
680      54.461723   37357.154497
681      54.541814   37412.010818
682      54.621905   37466.867139
683      54.701996   37521.723460
684      54.782086   37576.579781
685      54.862177   37631.436102
686      54.942268   37686.292423
687      55.022359   37741.148743
688      55.102449   37796.005064
689      55.182540   37850.861385
690      55.262631   37905.717706
691      55.342722   37960.574027
692      55.422813   38015.430348
693      55.502903   38070.286668
694      55.582994   38125.142989
695      55.663085   38179.999310
696      55.743176   38234.855631
697      55.823266   38289.711952
698      55.903357   38344.568273
699      55.983448   38399.424594
700      56.063539   38454.280914
701      56.143629   38509.137235
702      56.223720   38563.993556
703      56.303811   38618.849877
704      56.383902   38673.706198
705      56.463993   38728.562519
706      56.544083   38783.418839
707      56.624174   38838.275160
708      56.704265   38893.131481
709      56.784356   38947.987802
710      56.864446   39002.844123
711      56.944537   39057.700444
712      57.024628   39112.556765
713      57.104719   39167.413085
714      57.184809   39222.269406
715      57.264900   39277.125727
716      57.344991   39331.982048
717      57.425082   39386.838369
718      57.505173   39441.694690
719      57.585263   39496.551010
720      57.665354   39551.407331
721      57.745445   39606.263652
722      57.825536   39661.119973
723      57.905626   39715.976294
724      57.985717   39770.832615
725      58.065808   39825.688936
726      58.145899   39880.545256
727      58.225989   39935.401577
728      58.306080   39990.257898
729      58.386171   40045.114219
730      58.466262   40099.970540
731      58.546353   40154.826861
732      58.626443   40209.683182
733      58.706534   40264.539502
