          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
58    580.0  0.251  343.507976  0.535811   434.165525  0.729921  1933.499860  0.739807  3783.675084  0.746016  4207.550061   0.0   1.057752e+01   4.998858e+02  4.924303e+02  2.607873e-01
59    590.0  0.251  341.088906  0.531257   427.166715  0.729394  1888.436190  0.739444  3740.735133  0.745902  4204.785794   0.0   7.228259e+00   4.998223e+02  4.946758e+02  3.973156e-01
60    600.0  0.251  338.669836  0.527851   420.369848  0.728850  1843.305297  0.739093  3697.538338  0.745790  4202.011038   0.0   4.843868e+00   4.997279e+02  4.963095e+02  5.958679e-01
61    610.0  0.251  336.250766  0.525389   413.716343  0.728285  1798.109000  0.738753  3654.142723  0.745681  4199.221743   0.0   3.184943e+00   4.995896e+02  4.974787e+02  8.799593e-01
62    620.0  0.251  333.831695  0.523661   407.162121  0.727696  1752.850317  0.738422  3610.592185  0.745573  4196.412365   0.0   2.055762e+00   4.993902e+02  4.983020e+02  1.279981e+00
63    630.0  0.251  331.412625  0.522477   400.675045  0.727079  1707.533945  0.738098  3566.919325  0.745468  4193.575452   0.0   1.303083e+00   4.991075e+02  4.988727e+02  1.834430e+00
64    640.0  0.251  328.993555  0.521681   394.232350  0.726429  1662.166841  0.737779  3523.147929  0.745363  4190.701157   0.0   8.113664e-01   4.987125e+02  4.992620e+02  2.591081e+00
65    650.0  0.251  326.574485  0.521153   387.818336  0.725739  1616.758934  0.737465  3479.295064  0.745260  4187.776702   0.0   4.963377e-01   4.981690e+02  4.995236e+02  3.608006e+00
66    660.0  0.251  324.155414  0.520803   381.422431  0.725005  1571.323959  0.737156  3435.372788  0.745157  4184.785779   0.0   2.983172e-01   4.974323e+02  4.996967e+02  4.954300e+00
67    670.0  0.251  321.736344  0.520570   375.037676  0.724218  1525.880404  0.736849  3391.389501  0.745055  4181.707929   0.0   1.761593e-01   4.964484e+02  4.998095e+02  6.710385e+00
