CFL: 0.834861645022950
Execution time : 0.14682418199663516

        x        Sw        So
291  2.91  0.746047  0.253953
292  2.92  0.745962  0.254038
293  2.93  0.745877  0.254123
294  2.94  0.745791  0.254209
295  2.95  0.745707  0.254293
296  2.96  0.745622  0.254378
297  2.97  0.745537  0.254463
298  2.98  0.745453  0.254547
299  2.99  0.745368  0.254632
300  3.00  0.745284  0.254716
301  3.01  0.745200  0.254800
302  3.02  0.745116  0.254884
303  3.03  0.745033  0.254967
304  3.04  0.744949  0.255051
305  3.05  0.744866  0.255134
306  3.06  0.744782  0.255218
307  3.07  0.744699  0.255301
308  3.08  0.744616  0.255384
309  3.09  0.744534  0.255466
310  3.10  0.744451  0.255549
311  3.11  0.744368  0.255632
312  3.12  0.744286  0.255714
313  3.13  0.744204  0.255796
314  3.14  0.744122  0.255878
315  3.15  0.744040  0.255960
316  3.16  0.743958  0.256042
317  3.17  0.743876  0.256124
318  3.18  0.743795  0.256205
319  3.19  0.743713  0.256287
320  3.20  0.743632  0.256368
321  3.21  0.743551  0.256449
322  3.22  0.743470  0.256530
323  3.23  0.743389  0.256611
324  3.24  0.743308  0.256692
325  3.25  0.743228  0.256772
326  3.26  0.743147  0.256853
327  3.27  0.743067  0.256933
328  3.28  0.742987  0.257013
329  3.29  0.742906  0.257094
330  3.30  0.742827  0.257173
331  3.31  0.742747  0.257253
332  3.32  0.742667  0.257333
333  3.33  0.742587  0.257413
334  3.34  0.742508  0.257492
335  3.35  0.742429  0.257571
336  3.36  0.742350  0.257650
337  3.37  0.742271  0.257729
338  3.38  0.742192  0.257808
339  3.39  0.742113  0.257887
340  3.40  0.742034  0.257966
341  3.41  0.741956  0.258044
342  3.42  0.741877  0.258123
343  3.43  0.741799  0.258201
344  3.44  0.741721  0.258279
345  3.45  0.741643  0.258357
346  3.46  0.741565  0.258435
347  3.47  0.741487  0.258513
348  3.48  0.741409  0.258591
349  3.49  0.741332  0.258668
350  3.50  0.741254  0.258746
351  3.51  0.741177  0.258823
352  3.52  0.741100  0.258900
353  3.53  0.741023  0.258977
354  3.54  0.740946  0.259054
355  3.55  0.740869  0.259131
356  3.56  0.740792  0.259208
357  3.57  0.740715  0.259285
358  3.58  0.740639  0.259361
359  3.59  0.740562  0.259438
360  3.60  0.740486  0.259514
361  3.61  0.740410  0.259590
362  3.62  0.740334  0.259666
363  3.63  0.740258  0.259742
364  3.64  0.740182  0.259818
365  3.65  0.740106  0.259894
366  3.66  0.740031  0.259969
367  3.67  0.739955  0.260045
368  3.68  0.739880  0.260120
369  3.69  0.739804  0.260196
370  3.70  0.739729  0.260271
371  3.71  0.739654  0.260346
372  3.72  0.739579  0.260421
373  3.73  0.739504  0.260496
374  3.74  0.739429  0.260571
375  3.75  0.739355  0.260645
376  3.76  0.739280  0.260720
377  3.77  0.739206  0.260794
378  3.78  0.739131  0.260869
379  3.79  0.739057  0.260943
380  3.80  0.738983  0.261017
381  3.81  0.738909  0.261091
382  3.82  0.738835  0.261165
383  3.83  0.738761  0.261239
384  3.84  0.738687  0.261313
385  3.85  0.738614  0.261386
386  3.86  0.738540  0.261460
387  3.87  0.738467  0.261533
388  3.88  0.738393  0.261607
389  3.89  0.738320  0.261680
390  3.90  0.738247  0.261753
391  3.91  0.738174  0.261826
392  3.92  0.738101  0.261899
393  3.93  0.738028  0.261972
394  3.94  0.737955  0.262045
395  3.95  0.737883  0.262117
396  3.96  0.737810  0.262190
397  3.97  0.737738  0.262262
398  3.98  0.737665  0.262335
399  3.99  0.737593  0.262407
400  4.00  0.737521  0.262479
401  4.01  0.737449  0.262551
402  4.02  0.737377  0.262623
403  4.03  0.737305  0.262695
404  4.04  0.737233  0.262767
405  4.05  0.737161  0.262839
406  4.06  0.737090  0.262910
407  4.07  0.737018  0.262982
408  4.08  0.736947  0.263053
409  4.09  0.736876  0.263124
410  4.10  0.736804  0.263196
411  4.11  0.736733  0.263267
412  4.12  0.736662  0.263338
413  4.13  0.736591  0.263409
414  4.14  0.736520  0.263480
415  4.15  0.736449  0.263551
416  4.16  0.736379  0.263621
417  4.17  0.736308  0.263692
418  4.18  0.736237  0.263763
419  4.19  0.736167  0.263833
420  4.20  0.736097  0.263903
421  4.21  0.736026  0.263974
422  4.22  0.735956  0.264044
423  4.23  0.735886  0.264114
424  4.24  0.735816  0.264184
425  4.25  0.735746  0.264254
426  4.26  0.735676  0.264324
427  4.27  0.735607  0.264393
428  4.28  0.735537  0.264463
429  4.29  0.735467  0.264533
430  4.30  0.735398  0.264602
431  4.31  0.735328  0.264672
432  4.32  0.735259  0.264741
433  4.33  0.735190  0.264810
434  4.34  0.735120  0.264880
435  4.35  0.735051  0.264949
436  4.36  0.734982  0.265018
437  4.37  0.734913  0.265087
438  4.38  0.734845  0.265155
439  4.39  0.734776  0.265224
440  4.40  0.734707  0.265293
441  4.41  0.734638  0.265362
442  4.42  0.734570  0.265430
443  4.43  0.734501  0.265499
444  4.44  0.734433  0.265567
445  4.45  0.734365  0.265635
446  4.46  0.734297  0.265703
447  4.47  0.734228  0.265772
448  4.48  0.734160  0.265840
449  4.49  0.734092  0.265908
450  4.50  0.734024  0.265976
451  4.51  0.733957  0.266043
452  4.52  0.733889  0.266111
453  4.53  0.733821  0.266179
454  4.54  0.733754  0.266246
455  4.55  0.733686  0.266314
456  4.56  0.733619  0.266381
457  4.57  0.733551  0.266449
458  4.58  0.733484  0.266516
459  4.59  0.733417  0.266583
460  4.60  0.733349  0.266651
461  4.61  0.733282  0.266718
462  4.62  0.733215  0.266785
463  4.63  0.733148  0.266852
464  4.64  0.733082  0.266918
465  4.65  0.733015  0.266985
466  4.66  0.732948  0.267052
467  4.67  0.732881  0.267119
468  4.68  0.732815  0.267185
469  4.69  0.732748  0.267252
470  4.70  0.732682  0.267318
471  4.71  0.732616  0.267384
472  4.72  0.732549  0.267451
473  4.73  0.732483  0.267517
474  4.74  0.732417  0.267583
475  4.75  0.732351  0.267649
476  4.76  0.732285  0.267715
477  4.77  0.732219  0.267781
478  4.78  0.732153  0.267847
479  4.79  0.732087  0.267913
480  4.80  0.732021  0.267979
481  4.81  0.731956  0.268044
482  4.82  0.731890  0.268110
483  4.83  0.731825  0.268175
484  4.84  0.731759  0.268241
485  4.85  0.731694  0.268306
486  4.86  0.731628  0.268372
487  4.87  0.731563  0.268437
488  4.88  0.731498  0.268502
489  4.89  0.731433  0.268567
490  4.90  0.731368  0.268632
491  4.91  0.731303  0.268697
492  4.92  0.731238  0.268762
493  4.93  0.731173  0.268827
494  4.94  0.731108  0.268892
495  4.95  0.731043  0.268957
496  4.96  0.730979  0.269021
497  4.97  0.730914  0.269086
498  4.98  0.730849  0.269151
499  4.99  0.730785  0.269215
500  5.00  0.730720  0.269280
501  5.01  0.730656  0.269344
502  5.02  0.730592  0.269408
503  5.03  0.730528  0.269472
504  5.04  0.730463  0.269537
505  5.05  0.730399  0.269601
506  5.06  0.730335  0.269665
507  5.07  0.730271  0.269729
508  5.08  0.730207  0.269793
509  5.09  0.730143  0.269857
510  5.10  0.730080  0.269920
511  5.11  0.730016  0.269984
512  5.12  0.729952  0.270048
513  5.13  0.729889  0.270111
514  5.14  0.729825  0.270175
515  5.15  0.729761  0.270239
516  5.16  0.729698  0.270302
517  5.17  0.729635  0.270365
518  5.18  0.729571  0.270429
